OTU,RA,SampleID,Notes,ExperimentName,Day/TimePoint,ReplicateGroup,DonorName
0;1;6,0.02109506,S029,,RD1,D1/T0,RD628 - 8,GH
0;1;6,0.018368598,S030,,RD1,D1/T0,RD628 - 8,GH
0;1;7,0.006214462,S030,,RD1,D1/T0,RD628 - 8,GH
0;1;7,0.004854512,S029,,RD1,D1/T0,RD628 - 8,GH
0;4;8,0.001648735,S030,,RD1,D1/T0,RD628 - 8,GH
0;4;11,0.001176851,S029,,RD1,D1/T0,RD628 - 8,GH
0;4;8,0.001029745,S029,,RD1,D1/T0,RD628 - 8,GH
0;4;11,0.000951193,S030,,RD1,D1/T0,RD628 - 8,GH
1;5;9,0.000500162,S029,,RD1,D1/T0,RD628 - 8,GH
0;4;10,0.000411898,S029,,RD1,D1/T0,RD628 - 8,GH
1;5;9,0.000317064,S030,,RD1,D1/T0,RD628 - 8,GH
0;8;16,0.000253652,S030,,RD1,D1/T0,RD628 - 8,GH
0;6;12,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;6;13,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;4;14,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;7;15,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;8;16,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;9;17,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;2;18,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;10;19,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;11;20,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;12;21,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;2;22,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;13;23,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;14;24,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;1;21,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;15;25,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;3;26,0,S029,,RD1,D1/T0,RD628 - 8,GH
2;16;27,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;17;28,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;8;29,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;4;30,0,S029,,RD1,D1/T0,RD628 - 8,GH
2;16;31,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;2;32,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;18;33,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;19;21,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;12;34,0,S029,,RD1,D1/T0,RD628 - 8,GH
0;6;12,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;4;10,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;6;13,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;4;14,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;7;15,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;9;17,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;2;18,0,S030,,RD1,D1/T0,RD628 - 8,GH
0;10;19,0,S030,,RD1,D1/T0,RD628 - 8,GH
